Subject,Start Date,End Date,Location,Description
CES 2016,2016/1/6,2016/1/9,アメリカ・ラスベガス,世界最大の家電見本市 http://www.cesweb.org/
第2回ウェアラブル EXPO,2016/1/13,2016/1/15,東京ビッグサイト,世界的に注目が高まる装着型デバイスの総合展示会がスタート http://www.wearable-expo.jp/
闘会議2016,2016/1/30,2016/1/31,幕張メッセ,ニコニコがおくるゲーム大会、実況に特化した新イベント http://tokaigi.jp/
エンジニアサポートCROSS 2016,2016/2/5,2016/2/5,横浜港大さん橋ホール,ウェブエンジニアのための国内最大級の勉強会 http://2016.cross-party.com/
NewYork ToyFair 2016,2016/2/13,2016/2/16,アメリカ・ニューヨーク,ホビーの展示商談会、ウェアラブル機器にも注目 http://www.toyfairny.com/
WebRTC Conference Japan,2016/2/16,2016/2/17,ソラシティ カンファレンスセンター,ウェブのリアルタイムコミュニケーション技術の標準“WebRTC”のカンファレンス http://webrtcconference.jp/
イーコマースEXPO 2016 東京,2016/2/16,2016/2/17,東京ビッグサイト,ネットとモバイル通販とソリューションの専門展示会 http://www.ecommerceexpo-japan.com/
Developers Summit 2016,2016/2/18,2016/2/19,目黒雅叙園,ITエンジニアのための祭典。通称デブサミ、今年は“Hack The Real”がキーワード http://event.shoeisha.jp/devsumi/20160218/
SOCIAL MEDIA WEEK,2016/2/22,2016/2/26,アメリカ・ニューヨークほか,世界各地でソーシャルサービス関連イベントが開催 http://socialmediaweek.org/
MOBILE WORLD CONGRESS 2016,2016/2/22,2016/2/25,スペイン・バルセロナ,通信機器の展示会、最新のフラッグシップスマホも登場 http://www.mobileworldcongress.com/
Challenge Cup Regional Tokyo,2016/2/25,2016/2/25,未定,イノベーションを興し続ける企業を100社生み出す目的で活動し、日本ベンチャー大賞を発表。 http://ji-network.org/
CP+（シーピープラス）2016,2016/2/25,2016/2/28,パシフィコ横浜,カメラ、映像分野の総合展示会 http://www.cpplus.jp/
FRONTEND CONFERENCE 2016,2016/3/5,2016/3/5,大阪　新梅田研修センター,関西最大級のフロントエンドの祭典 http://kfug.jp/frontconf2016/
SXSW 2016,2016/3/11,2016/3/20,アメリカ・テキサス,サウス・バイ・サウス・ウェスト。音楽、映像、ITの祭典、注目ITベンチャーも多数登場 http://www.sxsw.com/
CeBIT 2016,2016/3/14,2016/3/18,ドイツ・ハノーファー,BtoB機器の展示会、スタートアップビジネスへも参入 http://www.cebit.de/
Game Developers Conference2016,2016/3/14,2016/3/18,アメリカ・サンフランシスコ,ゲーム開発者のためのビッグカンファレンス http://www.gdconf.com/
Anime Japan 2016,2016/3/25,2016/3/27,東京ビッグサイト,アニメのすべてがここにある。新作映像、ビジネスもわかる日本最大のアニメイベント http://www.anime-japan.jp/
Build 2016,2016/3/30,2016/4/1,アメリカ・サンフランシスコ,マイクロソフトの開発者会議 http://build.microsoft.com/
F8 2016,2016/4/12,2016/4/13,アメリカ・サンフランシスコ,ザッカーバーグの基調講演にも期待したいFacebookの開発者会議 https://www.fbf8.com/
TECH IN ASIA Singapore2016,2016/4/12,2016/4/13,シンガポール,アジア最大のスタートアップメディアTech in Asiaのイベント http://events.techinasia.com/sg2016/
NAB Show 2016,2016/4/16,2016/4/21,アメリカ・ラスベガス,全米放送事業者協会が主催する世界最大の放送機器展示会 http://www.nabshow.com/
TECHNO-FRONTIER 2016,2016/4/20,2016/4/22,幕張メッセ,メカ、エレクトロニクスの技術展示会。IoT Tech、国際ドローン展なども合同開催 http://www.jma.or.jp/TF/ja/
HANNOVER MESSE 2016,2016/4/25,2016/4/29,ドイツ・ハノーファー,オートメーションなど世界最大の産業見本市 http://www.hannovermesse.de/
ニコニコ超会議2016,2016/4/29,2016/4/30,幕張メッセ,ニコニコ動画を地上に再現する、日本ネット界最大のイベント http://www.chokaigi.jp/
Interop Las Vegas,2016/5/2,2016/5/6,アメリカ・ラスベガス,ネットワークコンピューティングの総合カンファレンス http://www.interop.com/lasvegas/
ICT SPRING EUROPE 2016,2016/5/10,2016/5/11,ルクセンブルク,イノベーションをキーワードにしたカンファレンス、ベンチャー企業も参加 http://www.ictspring.com/
Japan IT Week春 2016,2016/5/11,2016/5/13,東京ビッグサイト,ビッグデータやIoTなどさまざまなIT関連イベントが合同開催 http://www.japan-it.jp/haru/
ワイヤレスジャパン2016,2016/5/25,2016/5/27,台湾・台北,アジア最大級のコンピューター関連展示会 http://www8.ric.co.jp/expo/wj/
RISE,2016/5/31,2016/6/2,中国・香港,中国で行なわれるスタートアップの登竜門イベント https://riseconf.com/
COMPUTEX TAIPEI 2016,2016/5/31,2016/6/4,アメリカ・ラスベガス,ネットワークコンピューティングの総合カンファレンス http://www.computextaipei.com.tw/
Interop Tokyo,2016/6/8,2016/6/10,幕張メッセ,ネットワークコンピューター関連の総合カンファレンス http://www.interop.jp/
E3,2016/6/14,2016/6/16,アメリカ・ロサンゼルス,世界最大のゲームカンファレンス https://www.e3expo.com/
東京おもちゃショー2016,2016/6/9,2016/6/12,東京ビッグサイト,日本最大の玩具見本市 http://www.toys.or.jp/toyshow/
第24回 3D・バーチャル リアリティ展,2016/6/22,2016/6/24,東京ビッグサイト,最先端の3D技術が集まる展示会 http://www.ivr.jp/
Mobile World Congress Shanghai,2016/6/29,2016/7/1,中国・上海,MWCがアジアでも開催 http://www.mwcshanghai.com/
ANIME EXPO 2016,2016/7/1,2016/7/4,アメリカ・ロスアンゼルス,北米最大のジャパンコンテンツコンベンション http://www.anime-expo.org/
SIGGRAPH2016,2016/7/7,2016/7/10,アメリカ・カリフォルニア,CGグラフィックスの祭典 http://s2016.siggraph.org/
JAPAN EXPO 2016,2016/7/24,2016/7/28,フランス・パリ,欧州最大の日本文化の祭典 http://www.japan-expo-paris.com/
CEDEC 2016,2016/8/24,2016/8/26,パシフィコ横浜,ゲーム開発者の総合カンファレンス http://cedec.cesa.or.jp/2016/koubo/
IFA2016,2016/9/2,2016/9/7,ドイツ・ベルリン,世界最大のコンシューマーエレクトロニクスショー http://ifa-berlin.com/
Oracle OpenWorld 2016,2016/9/18,2016/9/22,アメリカ・サンフランシスコ,米オラクルが開催するカンファレンス https://www.oracle.com/openworld/
第23回 東京国際ブックフェア,2016/9/23,2016/9/25,東京ビッグサイト,2016年から読者向けのイベントへ。電子出版などの技術展示もある http://www.bookfair.jp/
DojoCon 2016,2016/10/21,2016/10/22,アイルランド,CoderDojoコミュニティのカンファレンスイベント http://dojocon.coderdojo.com/
Japan IT Week秋,2016/10/26,2016/10/28,幕張メッセ,スマートフォン＆モバイルEXPOなどを同時開催 http://www.japan-it.jp/aki/
関西オープンフォーラム(KOF),2016/11/11,2016/11/12,大阪南港 ATC,オープンソースならびに、コミュニティが元気に交流できる場を、関西でも作ろうという趣旨で開催されているイベント https://k-of.jp/
SLUSH 2016,2016/11/30,2016/12/1,フィンランド・ヘルシンキ,世界が注目するベンチャー企業、スタートアップ注目のイベント http://www.slush.org/
東京コミコン,2016/12/3,2016/12/4,東京ビッグサイト,SF、マンガ、アメコミヒーロー。テクノロジーとエンターテインメントを融合したイベントが日本上陸 http://tokyocomiccon.com/
SEMICON Japan 2016,2016/12/14,2016/12/16,東京ビッグサイト,マイクロエレクトロニクス製造サプライチェーンの国際展示会 http://www.semiconjapan.org/ja/
